,title,link
0,The Danger of Digitizing Everything,https://www.wired.com/story/the-danger-of-digitizing-everything/
1,Regulators Are Finally Catching Up With Big Tech,https://www.wired.com/story/regulators-are-finally-catching-up-with-big-tech/
2,The VC Funding Party Is Over,https://www.wired.com/story/the-vc-funding-party-is-over/
3,Get Ready for the Great AI Disappointment,https://www.wired.com/story/get-ready-for-the-great-ai-disappointment/
4,WIRED’s Biggest Interviews of 2023,https://www.wired.com/story/wired-big-interviews-2023/
5,"How Not to Be Stupid About AI, With Yann LeCun",https://www.wired.com/story/artificial-intelligence-meta-yann-lecun-interview/
6,You Know It’s a Placebo. So Why Does It Still Work?,https://www.wired.com/story/open-label-placebo-why-does-it-work/
7,"The Spy Who Dumped the CIA, Went to Therapy, and Now Makes Incredible Television",https://www.wired.com/story/joe-weisberg-the-spy-who-dumped-the-cia/
8,"Microsoft’s AI Chatbot Replies to Election Questions With Conspiracies, Fake Scandals, and Lies",https://www.wired.com/story/microsoft-ai-copilot-chatbot-election-conspiracy/
9,Inside Mark Zuckerberg’s Top-Secret Hawaii Compound,https://www.wired.com/story/mark-zuckerberg-inside-hawaii-compound/
10,"Women Buy More Cars, So Why Are the Designs So Macho?",https://www.wired.com/story/women-buy-more-cars-so-why-are-the-designs-so-macho/
11,Fake Taylor Swift Quotes Are Being Used to Spread Anti-Ukraine Propaganda,https://www.wired.com/story/russia-ukraine-taylor-swift-disinformation/
12,Drax’s Alien Skin Looks Stunning on the Samsung QN90C QLED,https://www.wired.com/review/samsung-qn90c-qled/
13,"The Best Smart Shades, Blinds, and Curtains",https://www.wired.com/gallery/best-smart-shades-blinds-curtains/
14,The 18 Best Games on PlayStation Plus,https://www.wired.com/gallery/best-playstation-ps-plus-games-extra-premium/
15,Pick the Philips Wired Camera if You Love Hue,https://www.wired.com/review/philips-hue-secure-wired-camera/
16,Jacques Vallée Still Doesn’t Know What UFOs Are,https://www.wired.com/story/jacques-vallee-still-doesnt-know-what-ufos-are/
17,Apocalypse Not: Here's Why You Shouldn't Worry About End Times,https://www.wired.com/2012/08/ff-apocalypsenot/
18,Revenge of the Right Brain,https://www.wired.com/2005/02/brain/
19,How The New York Times Is Clawing Its Way Into the Future,https://www.wired.com/2017/02/new-york-times-digital-journalism/
